Date,X,Y,,,,
10/11/2005,#N/A,0.13,,,,
13/11/2005,0.845000029,0.13,,,,
15/11/2005,0.782000005,0.13,,,,
17/11/2005,#N/A,0.13,,,,
20/11/2005,0.444999993,0.12,,,,
22/11/2005,0.317000002,0.13,,,,
6/12/2005,0.963999987,#N/A,,,,
11/12/2005,0.65200001,#N/A,,,,
13/12/2005,0.397000015,#N/A,,,,
7/2/2006,#N/A,0.06,,,,
9/2/2006,#N/A,0.14,,,,
12/2/2006,#N/A,0.14,,,,
14/2/2006,#N/A,0.15,,,,
16/3/2006,#N/A,0.15,,,,
11/4/2006,#N/A,0.12,,,,
13/4/2006,#N/A,0.18,,,,
16/4/2006,0.805999994,#N/A,,,,
18/4/2006,1.281999946,0.21,,,,
23/4/2006,0.920099974,#N/A,,,,
27/4/2006,#N/A,0.15,,,,
30/4/2006,0.552399993,0.15,,,,
2/5/2006,#N/A,0.14,,,,
4/5/2006,#N/A,0.14,,,,
7/5/2006,#N/A,0.15,,,,
14/5/2006,#N/A,0.15,,,,
15/5/2006,#N/A,0.15,,,,
16/5/2006,#N/A,0.13,,,,
18/5/2006,#N/A,0.11,,,,
21/5/2006,#N/A,0.12,,,,
22/5/2006,#N/A,0.13,,,,
23/5/2006,#N/A,0.14,,,,
25/5/2006,#N/A,0.14,,,,
1/6/2006,#N/A,0.15,,,,
8/6/2006,#N/A,0.14,,,,
22/6/2006,#N/A,0.14,,,,
29/6/2006,#N/A,0.13,,,,
6/7/2006,#N/A,0.15,,,,
13/7/2006,#N/A,0.14,,,,
20/7/2006,#N/A,0.11,,,,
27/7/2006,#N/A,0.16,,,,
3/8/2006,#N/A,0.12,,,,
10/8/2006,#N/A,0.16,,,,
15/8/2006,#N/A,0.16,,,,
17/8/2006,0.691999972,0.16,,,,
20/8/2006,0.697000027,0.15,,,,
22/8/2006,0.856000006,#N/A,,,,
24/8/2006,0.771000028,0.15,,,,
27/8/2006,0.786000013,0.14,,,,
29/8/2006,0.79400003,0.15,,,,
5/9/2006,#N/A,0.15,,,,
6/9/2006,0.467999995,#N/A,,,,
7/9/2006,#N/A,0.15,,,,
12/9/2006,0.246000007,0.15,,,,
14/9/2006,#N/A,0.14,,,,
17/9/2006,#N/A,0.15,,,,
19/9/2006,0.287999988,0.15,,,,
21/9/2006,#N/A,0.16,,,,
24/9/2006,#N/A,0.13,,,,
26/9/2006,0.307999998,0.11,,,,
28/9/2006,#N/A,0.15,,,,
3/10/2006,0.388000011,#N/A,,,,
8/10/2006,#N/A,0.13,,,,
10/10/2006,0.481000006,0.13,,,,
12/10/2006,#N/A,0.14,,,,
15/10/2006,#N/A,0.14,,,,
17/10/2006,#N/A,0.14,,,,
19/10/2006,#N/A,0.14,,,,
22/10/2006,#N/A,0.15,,,,
29/10/2006,#N/A,0.15,,,,
5/11/2006,#N/A,0.15,,,,
12/11/2006,#N/A,0.16,,,,
19/11/2006,#N/A,0.14,,,,
26/11/2006,#N/A,0.12,,,,
3/12/2006,#N/A,0.15,,,,
10/12/2006,#N/A,0.15,,,,
17/12/2006,#N/A,0.16,,,,
26/12/2006,#N/A,0.15,,,,
9/1/2007,#N/A,0.13,,,,
16/1/2007,#N/A,0.13,,,,
23/1/2007,#N/A,0.12,,,,
30/1/2007,#N/A,0.11,,,,
6/2/2007,#N/A,0.12,,,,
13/2/2007,#N/A,0.12,,,,
20/2/2007,#N/A,0.12,,,,
27/2/2007,#N/A,0.14,,,,
6/3/2007,#N/A,0.12,,,,
13/3/2007,#N/A,0.13,,,,
20/3/2007,#N/A,0.11,,,,
27/3/2007,#N/A,0.12,,,,
3/4/2007,#N/A,0.13,,,,
10/4/2007,#N/A,0.13,,,,
12/4/2007,0.252999991,0.13,,,,
22/4/2007,#N/A,0.13,,,,
29/4/2007,#N/A,0.12,,,,
15/5/2007,#N/A,0.12,,,,
22/5/2007,#N/A,0.12,,,,
29/5/2007,#N/A,0.12,,,,
12/6/2007,#N/A,0.11,,,,
19/6/2007,#N/A,0.11,,,,
22/6/2007,0.226999998,#N/A,,,,
26/6/2007,#N/A,0.13,,,,
3/7/2007,#N/A,0.11,,,,
10/7/2007,#N/A,0.1,,,,
17/7/2007,#N/A,0.11,,,,
24/7/2007,#N/A,0.11,,,,
27/7/2007,0.02,#N/A,,,,
31/7/2007,#N/A,0.14,,,,
7/8/2007,#N/A,0.1,,,,
14/8/2007,#N/A,0.12,,,,
21/8/2007,#N/A,0.13,,,,
29/8/2007,#N/A,0.13,,,,
3/9/2007,0.508899987,0.14,,,,
4/9/2007,1.606999993,0.11,,,,
5/9/2007,#N/A,0.08,,,,
6/9/2007,0.593200028,0.13,,,,
7/9/2007,0.691399992,0.07,,,,
8/9/2007,0.699699998,0.13,,,,
9/9/2007,0.685000002,#N/A,,,,
10/9/2007,0.875500023,0.12,,,,
11/9/2007,0.795000017,0.11,,,,
12/9/2007,#N/A,0.07,,,,
13/9/2007,0.757000029,0.07,,,,
16/9/2007,0.273999989,0.13,,,,
17/9/2007,#N/A,0.1,,,,
18/9/2007,0.708000004,0.13,,,,
19/9/2007,#N/A,0.1,,,,
20/9/2007,0.708000004,0.13,,,,
23/9/2007,0.690999985,0.09,,,,
24/9/2007,#N/A,0.1,,,,
25/9/2007,0.675000012,0.1,,,,
26/9/2007,#N/A,0.12,,,,
27/9/2007,0.626999974,0.12,,,,
30/9/2007,#N/A,0.1,,,,
9/10/2007,#N/A,0.1,,,,
